work_key,author,source_site,page_title,page_url,birth_year,death_year,target,decision_reason,extraction_method,song_context,evidence_text,status
不詳/梅堯臣集,梅聖俞,wikipedia,梅尧臣,https://zh.wikipedia.org/wiki/%E6%A2%85%E5%B0%A7%E8%87%A3,1002,1060,北宋,death_year_1060_le_1127,categories,True,1002年出生；1060年逝世,resolved
不詳/梨花賦,陳藻,wikisource,,,,,,,,False,,missing_page
不詳/梨花賦,陳藻,wikisource,,,,,,,,False,,missing_page
不詳/梨花賦,陳藻,wikipedia,陳藻,https://zh.wikipedia.org/wiki/%E9%99%B3%E8%97%BB,1151,1225,南宋,death_year_1225_gt_1127,categories,True,1151年出生；1225年逝世,resolved
不詳/棋經,張擬,wikisource,,,,,,,,False,,missing_page
不詳/棋經,張擬,wikisource,,,,,,,,False,,missing_page
不詳/棋經,張擬,wikipedia,,,,,,,,False,,missing_page
不詳/棋訣,劉仲甫,wikisource,,,,,,,,False,,missing_page
不詳/棋訣,劉仲甫,wikisource,,,,,,,,False,,missing_page
不詳/棋訣,劉仲甫,wikipedia,,,,,,,,False,,missing_page
不詳/楊公筆錄,楊延齡,wikisource,,,,,,,,False,,missing_page
不詳/楊公筆錄,楊延齡,wikisource,,,,,,,,False,,missing_page
不詳/楊公筆錄,楊延齡,wikipedia,,,,,,,,False,,missing_page
不詳/楊氏家藏方,楊倓,wikisource,,,,,,,,False,,missing_page
不詳/楊氏家藏方,楊倓,wikisource,,,,,,,,False,,missing_page
不詳/楊氏家藏方,楊倓,wikipedia,楊倓,https://zh.wikipedia.org/wiki/%E6%A5%8A%E5%80%93,,,,insufficient_date_evidence,no_dates,True,,no_usable_date
不詳/楚辭補註,王逸,wikisource,Author:王逸,https://zh.wikisource.org/wiki/Author:%E7%8E%8B%E9%80%B8,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
