priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,no_author_candidate,不詳/會稽志,,,,1,會稽志 | 會稽志__juan_01.txt | 會稽志/卷一,,
low,no_author_candidate,不詳/朝野僉言,,,,1,朝野僉言 | 朝野僉言__juan_01.txt,,
low,no_author_candidate,不詳/朝野遺記,,,,1,朝野遺記 | 朝野遺記__juan_01.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/朝陰,呂陶,呂陶,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/本心斋疏食谱,陳達叟,陳達叟,,1,,,
low,no_author_candidate,不詳/朱子讀書法,,,,1,朱子讀書法 | 朱子讀書法__juan_01.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/朱氏天和堂,徐鐸,徐鐸,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/村晚,雷震,雷震,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/杜工部草堂詩話,蔡夢弼,蔡夢弼,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/東人之文四六,崔瀣,崔瀣,,15,,,
low,one_or_more_authors_have_no_usable_date,不詳/東湖探梅,李石,李石,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/東溪試茶錄,子安,子安,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/東溪試茶錄序,朱子安,朱子安,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/東谷隨筆,李之彥,李之彥,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/林泉高致集,郭思,郭思,,1,,,
low,no_author_candidate,不詳/梁公九諫,,,,1,梁公九諫 | 梁公九諫__juan_01.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/梅 (王淇),王淇,王淇,,1,,,
high,review,不詳/梅堯臣集,梅聖俞,,,61,,北宋,target_work_folder_exists
low,one_or_more_authors_have_no_usable_date,不詳/棋經,張擬,張擬,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/棋訣,劉仲甫,劉仲甫,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/楊公筆錄,楊延齡,楊延齡,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/楊氏家藏方,楊倓,楊倓,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/楚辭補註,王逸,王逸,,17,,,
low,one_or_more_authors_have_no_usable_date,不詳/樂府指迷,沈義父,沈義父,,1,,,
low,no_author_candidate,不詳/樂菴語錄,,,,5,樂菴語錄 | 樂菴語錄__juan_01.txt | 樂菴語錄/卷一 | 樂菴語錄__juan_02.txt | 樂菴語錄/卷二 | 樂菴語錄__juan_03.txt,,
low,no_author_candidate,不詳/樂邦文類,,,,5,樂邦文類 | 樂邦文類__juan_01.txt | 樂邦文類/卷001 | 樂邦文類__juan_02.txt | 樂邦文類/卷002 | 樂邦文類__juan_03.txt,,
